"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","ganze Stadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.75,2326500000,0.75,0.85,612.236842105263,760.294117647059
"base","base","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.6,3.65e+09,0.6,0.8,960.526315789474,1192.81045751634
"dekarbonisiert","base","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.6,3.6e+09,0.6,0.8,947.368421052631,1176.47058823529
"stark","base","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3.1e+09,0.55,0.75,815.78947368421,1013.07189542484
"base","Innenstadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3462500000,0.55,0.8,911.184210526316,1131.53594771242
"dekarbonisiert","Innenstadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3412500000,0.55,0.8,898.026315789474,1115.19607843137
"stark","Innenstadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2912500000,0.5,0.75,766.447368421052,951.797385620915
"base","ganze Stadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3.275e+09,0.55,0.75,861.842105263158,1070.2614379085
"dekarbonisiert","ganze Stadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3.225e+09,0.55,0.75,848.684210526316,1053.92156862745
"stark","ganze Stadt","base","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2.725e+09,0.5,0.7,717.105263157895,890.522875816994
"base","base","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3.215e+09,0.55,0.75,846.052631578948,1050.65359477124
"dekarbonisiert","base","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.55,3.165e+09,0.55,0.75,832.894736842105,1034.3137254902
"stark","base","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2.665e+09,0.5,0.7,701.315789473684,870.915032679739
"base","Innenstadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,3045750000,0.5,0.75,801.513157894737,995.343137254902
"dekarbonisiert","Innenstadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2995750000,0.5,0.75,788.355263157895,979.003267973856
"stark","Innenstadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.45,2495750000,0.45,0.7,656.776315789474,815.604575163399
"base","ganze Stadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2876500000,0.5,0.7,756.973684210526,940.032679738562
"dekarbonisiert","ganze Stadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.5,2826500000,0.5,0.7,743.815789473684,923.692810457516
