"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"dekarbonisiert","ganze Stadt","stark","mautFossil","nurAussenbezirke","base",0.15,2.6e+08,0.9,0.8,0.08008,69.5263157894737,86.3398692810458
"stark","ganze Stadt","stark","mautFossil","nurAussenbezirke","base",0.15,-2.8e+08,0.85,0.75,0.094822,-72.4263157894737,-89.9411764705882
"base","base","base","MautFuerAlle","nurAussenbezirke","base",0.6,2.09e+09,0.85,0.8,0.091,550.701754385965,683.877995642701
"dekarbonisiert","base","base","MautFuerAlle","nurAussenbezirke","base",0.6,2.04e+09,0.85,0.8,0.091,537.543859649123,667.538126361656
"stark","base","base","MautFuerAlle","nurAussenbezirke","base",0.55,1.49e+09,0.85,0.75,0.10465,392.517543859649,487.44008714597
"base","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","base",0.55,2.03e+09,0.85,0.75,0.10465,534.622807017544,663.910675381264
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","base",0.55,1.98e+09,0.85,0.75,0.10465,521.464912280702,647.570806100218
"stark","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","base",0.5,1.44e+09,0.8,0.7,0.116935,377.783333333333,469.142701525055
"base","base","stark","MautFuerAlle","nurAussenbezirke","base",0.55,1.97e+09,0.85,0.75,0.10465,518.833333333333,644.302832244009
"dekarbonisiert","base","stark","MautFuerAlle","nurAussenbezirke","base",0.55,1.92e+09,0.85,0.75,0.10465,505.675438596491,627.962962962963
"stark","base","stark","MautFuerAlle","nurAussenbezirke","base",0.5,1.38e+09,0.8,0.7,0.116935,361.993859649123,449.5348583878
"base","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","base",0.5,1.92e+09,0.8,0.7,0.116935,504.099122807018,626.005446623094
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","base",0.5,1.87e+09,0.8,0.7,0.116935,490.941228070176,609.665577342048
"stark","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","base",0.45,1.32e+09,0.8,0.7,0.1279915,348.469912280702,432.740413943355
